# code	candidate1	candidate2	...
# Generated by: make update-sucheng-snapshot
# Locks Quick Classic Sucheng first-page ordering for alphabetic one/two-key codes.
a	日	曰
b	月
c	金
d	木
e	水
f	火
g	土
h	竹
i	戈
j	十
k	大	乂
l	中
m	一
n	弓
o	人
p	心
q	手
r	口
s	尸
t	廿
u	山
v	女
w	田
y	卜
rt	啦	跚	嗑	噎	蹬	呏	哢	趼	啽
ru	巳	兄	吧	呃	吮	吼	邑	咄	咆
rv	喝	喂	跟	嘍	噥	噶	嚷	嚶	饕
rw	哂	噹	唒	喵	跴	踾	蹓	蹯	躝
rx	啗	嘯	蹈	躋	喢	嚌	蹖	嚪	嚿
ry	咚	啡	嗨	唹	跅	踇	卟	咔	啩
sa	屠	習	層	職	馹	鬊	鬐	騽	驓
sb	匝	帚	屑	匾	腎	髯	臂	臀	騙
sc	匹	咫	匱	賢	駟	頤	翼	鑒	鬚
sd	屎	屘	孱	馳	檗	匜	棸	屧	髹
se	尿	取	屐	馭	殿	履	毆	駿	翍
sf	耿	馬	熙	緊	熨	鬃	騵	驃	騾
sg	匡	屆	屋	堅	匯	聖	翟	駐	壁
sh	刀	劈	匢	翂	髟	翏	駜	駗	髳
si	刃	尉	聆	尋	戮	駙	戳	璧	鬆
sj	耳	辟	翠	聶	驛	屖	聑	馯	匰
sk	尹	改	馱	駁	駛	髮	翇	镺	駃
sl	匠	臣	匣	那	邵	耶	郡	聊	郾
